"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
402779;3925;37351;"2000-07-11 12:45:00";"2000-07-11 14:00:00";999.0000;999.0000;1.2500;1.0000;5.3;PER;C;0
402783;3925;37351;"2000-07-11 14:00:00";"2000-07-11 15:00:00";999.0000;999.0000;1.0000;1.0000;5.3;PER;C;0
402787;3925;37351;"2000-07-11 15:00:00";"2000-07-11 16:00:00";999.0000;999.0000;1.0000;1.0000;5.5;PER;C;0
402791;3925;37351;"2000-07-11 16:00:00";"2000-07-11 17:00:00";999.0000;999.0000;1.0000;1.0000;5.8;PER;C;0
402795;3925;37351;"2000-07-11 17:00:00";"2000-07-11 18:00:00";999.0000;999.0000;1.0000;1.0000;6;PER;C;2
513619;4893;49150;"2000-07-11 22:18:00";"2000-07-12 00:35:00";305.0000;30.0000;2.2000;1.0000;5.5;PER;P;0
402799;3925;37352;"2000-07-12 12:00:00";"2000-07-12 13:00:00";999.0000;999.0000;1.0000;1.0000;5;PER;C;0
402803;3925;37352;"2000-07-12 13:00:00";"2000-07-12 14:00:00";999.0000;999.0000;1.0000;1.1100;5.2;PER;C;0
402807;3925;37352;"2000-07-12 14:00:00";"2000-07-12 15:00:00";999.0000;999.0000;1.0000;1.1100;5.2;PER;C;0
402811;3925;37353;"2000-07-13 16:00:00";"2000-07-13 17:15:00";999.0000;999.0000;1.2500;1.1100;5.3;PER;C;1
402815;3925;37353;"2000-07-13 17:00:00";"2000-07-13 18:00:00";999.0000;999.0000;1.0000;1.1100;5.6;PER;C;1
426147;4259;39502;"2000-07-14 20:40:00";"2000-07-14 21:30:00";330.0000;50.0000;0.7500;1.0700;5.35;PER;P;1
20901;793;1879;"2000-07-15 20:00:00";"2000-07-15 21:00:00";310.0000;40.0000;0.9800;2.0000;4.8;PER;P;0
20906;793;1879;"2000-07-15 21:00:00";"2000-07-15 22:00:00";310.0000;40.0000;0.9500;2.0000;4.8;PER;P;0
20911;793;1879;"2000-07-15 22:00:00";"2000-07-15 23:00:00";310.0000;40.0000;0.9300;2.0000;4.8;PER;P;0
