"Rate ID";"User ID";"Obs Session ID";"Start Date";"End Date";Ra;Decl;Teff;F;Lm;Shower;Method;Number
513527;4893;49136;"1999-12-02 00:14:00";"1999-12-02 02:55:00";80.0000;30.0000;2.4000;1.0200;5.98;GEM;P;1
513531;4893;49137;"1999-12-04 01:27:00";"1999-12-04 02:52:00";90.0000;30.0000;1.3500;1.0600;5.55;GEM;P;1
20516;793;1790;"1999-12-04 16:30:00";"1999-12-04 17:30:00";999.0000;999.0000;0.9900;1.0000;5.75;GEM;P;0
20519;793;1790;"1999-12-04 19:30:00";"1999-12-04 22:30:00";999.0000;999.0000;2.9000;1.0000;6;GEM;P;2
218140;2622;19973;"1999-12-04 20:00:00";"1999-12-04 21:30:00";210.0000;63.0000;1.4300;1.0000;5.96;GEM;P;1
20524;793;1790;"1999-12-05 01:00:00";"1999-12-05 04:00:00";117.0000;7.0000;2.9200;1.4000;5.25;GEM;P;2
245713;199;22736;"1999-12-05 17:30:00";"1999-12-05 18:30:00";80.0000;30.0000;1.0000;1.1100;6;GEM;C;0
245716;199;22736;"1999-12-05 18:30:00";"1999-12-05 20:00:00";80.0000;30.0000;1.5000;1.2500;6.2;GEM;C;1
513536;4893;49138;"1999-12-05 19:56:00";"1999-12-05 21:20:00";60.0000;30.0000;1.3700;1.0400;5.43;GEM;P;0
245720;199;22736;"1999-12-05 20:45:00";"1999-12-05 21:45:00";80.0000;30.0000;1.0000;1.2500;6.3;GEM;C;0
245725;199;22736;"1999-12-05 21:45:00";"1999-12-05 22:45:00";70.0000;20.0000;1.0000;1.4300;6.2;GEM;C;0
539376;5124;51686;"1999-12-05 21:50:00";"1999-12-05 22:50:00";999.0000;999.0000;0.8900;1.2500;5;GEM;P;0
127462;1850;11299;"1999-12-05 22:00:00";"1999-12-05 22:50:00";999.0000;999.0000;0.6400;1.0000;5.7;GEM;P;4
245730;199;22736;"1999-12-05 22:45:00";"1999-12-06 00:15:00";70.0000;20.0000;1.5000;1.1100;6.2;GEM;C;2
127467;1850;11299;"1999-12-05 22:50:00";"1999-12-05 23:40:00";999.0000;999.0000;0.6900;1.0000;5.7;GEM;P;0
245735;199;22736;"1999-12-06 00:15:00";"1999-12-06 01:00:00";70.0000;20.0000;0.7500;1.0000;6.4;GEM;C;1
134510;7154;12177;"1999-12-06 01:15:00";"1999-12-06 02:17:00";140.0000;75.0000;1.0000;1.0000;5.3;GEM;P;1
245740;199;22736;"1999-12-06 01:30:00";"1999-12-06 02:30:00";160.0000;30.0000;1.0000;1.0000;6.3;GEM;C;2
245745;199;22736;"1999-12-06 03:00:00";"1999-12-06 04:30:00";160.0000;30.0000;1.5000;1.2500;6.2;GEM;C;2
320502;257;29173;"1999-12-06 06:45:00";"1999-12-06 07:45:00";90.0000;30.0000;1.0000;1.0000;6.2;GEM;C;1
320506;257;29173;"1999-12-06 07:45:00";"1999-12-06 08:45:00";105.0000;30.0000;1.0000;1.0000;6.2;GEM;C;1
320510;257;29173;"1999-12-06 08:45:00";"1999-12-06 09:45:00";120.0000;30.0000;1.0000;1.0000;6.2;GEM;C;2
311862;3284;28196;"1999-12-06 13:00:00";"1999-12-06 14:00:00";999.0000;999.0000;1.0000;1.0000;5.8;GEM;C;0
311864;3284;28196;"1999-12-06 14:00:00";"1999-12-06 15:00:00";999.0000;999.0000;1.0000;1.0000;5.8;GEM;C;2
311866;3284;28196;"1999-12-06 15:00:00";"1999-12-06 16:00:00";999.0000;999.0000;1.0000;1.0000;5.8;GEM;C;2
402046;3925;37241;"1999-12-06 18:00:00";"1999-12-06 19:00:00";999.0000;999.0000;1.0000;1.0000;6.3;GEM;C;7
