0	14484
1	14484
2	14484
3	14484
4	14484
5	14484
6	14484
7	14484
8	15365
9	15365
10	15365
11	15365
12	15365
13	15365
14	15313
15	15431
16	15431
17	15431
18	15431
19	15431
20	15363
21	15363
22	15923
23	15923
24	15947
25	15947
26	15947
27	15585
28	15585
29	15560
30	15376
31	15376
32	14885
33	14885
34	15406
35	15406
36	15406
37	15305
38	14926
39	14663
40	15134
41	14995
42	14850
43	14644
44	14644
45	14644
46	14644
47	14644
48	14678
49	14678
50	14678
51	14678
52	14678
53	14074
54	14074
55	14074
56	14074
57	13649
58	13649
59	13687
60	13687
61	14036
62	13936
63	13936
64	13936
65	13936
66	13936
67	13936
68	13866
69	13340
70	14006
71	14297
72	14297
73	14817
74	14817
75	14817
76	14817
77	15500
78	16594
79	16162
80	16055
81	15595
82	15595
83	15774
84	15784
85	17141
86	16617
87	16335
88	16801
89	16801
90	16801
91	17109
92	16964
93	17216
94	17216
95	17041
96	16975
97	16919
98	16924
99	16924
100	15903
101	16425
102	16565
103	16739
104	17215
105	17425
106	17922
107	17331
108	17790
109	17597
110	17250
111	18055
112	17003
113	17313
114	16930
115	17587
116	17435
117	16881
118	16389
119	15659
120	16710
121	16860
122	16426
123	17664
124	17664
125	16608
126	16608
127	16603
128	16603
129	17229
130	16492
131	16919
132	17053
133	15997
134	15997
135	15997
136	14895
137	14895
138	14493
139	14493
140	14182
141	14859
142	14859
143	15414
144	15414
145	15459
146	15459
147	15060
148	15883
149	15883
150	15983
151	16008
152	16294
153	15667
154	15631
155	15690
156	16848
157	16920
158	17485
159	17459
160	18439
161	18182
162	17386
163	17311
164	16239
165	16422
166	16762
167	16762
168	17345
169	16603
170	16603
171	16603
172	17269
173	16781
174	15971
175	15790
176	15357
177	15043
178	14792
179	14831
180	16417
181	16381
182	16428
183	18189
184	17976
185	18500
186	17728
187	17728
188	17728
189	17633
190	17382
191	17796
192	17796
193	17236
194	16451
195	16352
196	17152
197	15894
198	16430
199	16708
200	16613
201	16507
202	16435
203	16215
204	16678
